330.5, 820.2307692307693
332.3333333333333, 837.2916666666666
335.75000000000006, 805.3333333333334
339.5, 848.2272727272727
342.5, 793.8333333333334
350.5, 855.7272727272727
351.5, 783.2222222222222
361, 772.95
361.5, 859.1818181818181
371, 762.15
372.5, 860
381.5, 751.0666666666667
383.5, 860
388.40909090909093, 739.1363636363636
392.9, 726.7
394.5, 859.4545454545455
393.7307692307692, 646.0384615384615
393.125, 662.0625
394.5, 675.4444444444445
395.6666666666667, 692.5833333333334
395.125, 708.2708333333333
397.40909090909093, 629.3181818181819
396, 717.375
405, 617.4
405.5, 858.7272727272727
415.5, 609.7272727272727
416.5, 858.1818181818181
426.5, 606.5454545454545
427.5, 858.0454545454545
437.5, 607.0454545454545
438.5, 858.8636363636364
448.5, 611.0909090909091
449.5, 861
459.5, 618.5
460.5, 865.1363636363636
470.5, 627.7272727272727
471.5, 871.5454545454545
481.5, 637.7272727272727
482.5, 879.9545454545455
492.5, 648.0909090909091
493.5, 889.7272727272727
503.5, 656.6818181818181
504.5, 900.1818181818181
514.5, 663.6363636363636
515.5, 909.5909090909091
525.5, 668.3181818181819
526.5, 917.6363636363636
536.5, 670.9090909090909
537.5, 922.4090909090909
547.5, 671.8181818181819
548.5, 923.7272727272727
558.5, 671.9090909090909
559.5, 921.2727272727273
569.5, 671.4545454545455
570.5, 914.7727272727273
580.5, 670.6363636363636
579.4230769230769, 905.2307692307693
581.4999999999999, 828.6071428571429
581.6428571428571, 845.1428571428571
583.9545454545455, 809.2272727272727
583.3181818181819, 859.5454545454545
583.75, 889.7916666666666
583.9285714285714, 874.0714285714286
589, 795.0833333333334
591.5, 670.1363636363636
594.5, 784.5454545454545
602.5, 670
602.5, 772.9444444444445
612, 762.1
613.5, 670.4545454545455
622, 751.1
624.5, 673.2727272727273
631.5, 740.3888888888889
635.5, 680.1818181818181
640.1363636363636, 730.9545454545455
644.4285714285714, 693.8928571428571
645.9545454545455, 718.5
648, 707.25
